"","gamma","alpha","rho","sigma_eps_sq","alpha_tilde","k","Y_inf","obj_fun"
"309",0.937978416746,5.57940831138,0.96012881959,11.9152,5.27324,0.0406878,182.68,2127.12
"310",0.31424704069,0.707331678214,0.946120357159,0.0420655,0.276157,0.0553855,181.348,2098.2
"311",0.115879058427,0.410278311783,0.942855387,0.0067984,0.104687,0.0588424,185.74,2082.08
"312",0.163235686458,0.596279772346,0.922499023815,0.0126446,0.174835,0.080669,146.045,2129.25
"313",0.468957354186,0.979825937717,0.958311778254,0.177942,0.501185,0.0425821,200.885,2122.04
"314",0.483965997341,1.1043497106,0.953072755354,0.195334,0.581395,0.048064,181.35,2104.82
"315",0.610021265492,1.81637673938,0.951537149433,0.57153,1.15649,0.0496765,181.343,2089.89
"316",0.00363577063347,0.262245032578,0.951602893395,0.00265253,0.0493506,0.0496075,213.989,2103.52
"317",0.754766814995,2.67283295396,0.961309056336,2.27061,2.05606,0.0394593,193.214,2121.24
"318",0.645846479991,2.33123790601,0.939897066062,0.855733,1.56572,0.0619849,155.666,2107.96
"319",0.189700193865,0.472683780214,0.946616285412,0.0137736,0.143052,0.0548615,180.567,2093.62
"320",0.15637527975,0.56108249678,0.925521452978,0.0107394,0.162218,0.077398,145.178,2095.37
"321",0.662083886563,1.93464726817,0.961933470175,1.07217,1.31897,0.03881,211.603,2148.91
"322",0.937224265143,4.4300412909,0.974652884238,11.6296,4.17729,0.0256739,231.985,2130.6
"323",0.397511248393,0.876961477272,0.950196678803,0.0931223,0.398405,0.0510863,186.983,2116.49
"324",0.675600277288,2.62470212511,0.936245158049,1.05356,1.837,0.0658779,144.692,2085.12
"325",0.604518746285,1.60765726526,0.957107633965,0.520089,1.01475,0.0438394,187.434,2076.62
"326",0.246013500839,0.791350024922,0.917367481507,0.0259072,0.277315,0.0862471,137.206,2116.96
"327",0.397734582872,0.920054276281,0.945882023895,0.101931,0.420055,0.0556374,172.816,2140.23
"328",0.545455092667,1.39755009082,0.952022737617,0.269454,0.810278,0.0491664,178.072,2032.2
"329",0.685847105058,2.23021069096,0.956572448912,1.1905,1.57301,0.0443987,187.522,2109.97
"330",0.198549330541,0.592087469616,0.930765482553,0.0165362,0.186793,0.0717479,148.23,2114.21
"331",0.203990263373,0.653454156636,0.924625125093,0.0143633,0.208673,0.0783669,147.213,2054.93
"332",0.6503107967,1.85051575209,0.961084617853,0.80171,1.24233,0.0396928,205.549,2088.35
"333",0.16492184446,0.560936249827,0.928478165039,0.0133148,0.164032,0.0742084,153.402,2145.64
"334",0.819604961838,3.26175846922,0.965806084606,3.87942,2.70755,0.0347922,207.26,2110.51
"335",0.418754471041,1.09329130083,0.938536434254,0.116704,0.519284,0.0634336,163.38,2121.38
"336",0.642155593573,1.99732202293,0.953453999469,0.870631,1.32914,0.0476641,184.874,2133.66
"337",0.722058159523,2.87767308376,0.943870372331,1.62467,2.13398,0.0577664,154.236,2095.99
"338",0.409666635405,1.01844925359,0.941523631744,0.104268,0.475701,0.0602558,166.795,2112.21
"339",0.681166689767,1.9168454928,0.964063283235,1.19077,1.34163,0.0365983,203.209,2126.26
"340",0.383365122773,0.740514463172,0.956927475546,0.0793781,0.32696,0.0440277,197.801,2106.11
"341",1.01826060421e-05,0.397318971372,0.919576869561,0.00293492,0.0804272,0.0838416,139.803,2121.32
"342",0.203088600119,0.617254171105,0.929769208782,0.0163901,0.195588,0.0728189,154.971,2103.98
"343",0.36637912487,0.841661203382,0.946156355847,0.0771513,0.362211,0.0553474,181.753,2144.28
"344",0.171203102731,0.547108231075,0.931544542297,0.0114029,0.162122,0.0709113,153.842,2077.35
"345",0.500449365784,1.19250651225,0.952175650377,0.263097,0.644613,0.0490058,180.831,2153.06
"346",0.339399140496,0.730822688705,0.948849699204,0.0480038,0.299191,0.0525049,182.042,2068.28
"347",0.776930742083,2.24938765552,0.982428827993,2.54141,1.76519,0.0177274,377.393,2109.67
"348",0.250246371718,0.575956674538,0.9452839894,0.0260515,0.198847,0.0562699,173.545,2123.11
"349",0.780838900557,2.66015858386,0.969747331594,2.62278,2.10741,0.0307197,229.225,2098.74
"350",0.631509089246,1.81029417022,0.955865379254,0.619114,1.18735,0.0451382,183.696,2054.66
"351",0.268284628108,0.770317028692,0.926763034576,0.032589,0.279901,0.0760574,148.034,2134.42
"352",0.177691446074,0.566279866342,0.93061708567,0.0141196,0.170006,0.0719074,155.017,2127.83
"353",0.418768663169,1.10567768311,0.936449801699,0.125854,0.526573,0.0656594,155.94,2141.69
"354",0.292924680132,0.706925566364,0.939085657106,0.0385109,0.26799,0.0628486,157.205,2120.6
"355",0.19143906929,0.618384817417,0.926575482133,0.0128052,0.191808,0.0762598,150.788,2056.19
"356",0.0352692577052,0.340330542053,0.939669778595,0.00331712,0.0723334,0.0622268,171.537,2074.84
"357",0.343119387397,0.857742945895,0.937326034573,0.0563884,0.356982,0.0647241,159.232,2101.9
"358",0.578698811473,1.89154005336,0.935237568786,0.45768,1.15939,0.0669547,146.232,2094.81
"359",0.158515060512,0.466575448046,0.941470854483,0.0113255,0.132488,0.0603119,173.105,2118.64
"360",0.0494638042279,0.339749844196,0.942530703357,0.00411453,0.0742746,0.0591868,178.749,2106.29
"361",0.493238865739,1.0678027577,0.958836571073,0.214699,0.567845,0.0420346,204.495,2114.08
"362",0.377350097194,0.666806287124,0.961939493571,0.0696345,0.28968,0.0388037,216.71,2084.25
"363",0.11285747321,0.515896059412,0.922535565799,0.00741937,0.135687,0.0806294,143.557,2100.05
"364",0.840105263848,2.86386708746,0.98231159472,3.71592,2.42364,0.0178467,349.515,2049.51
"365",0.189229865595,0.513273907207,0.94056599649,0.0130843,0.156561,0.0612735,167.089,2074.68
"366",0.257287374405,0.559105780489,0.949662129778,0.0280805,0.194189,0.051649,190.059,2132.43
"367",0.374716159887,0.958358317141,0.936858647351,0.0740008,0.422254,0.0652229,159.353,2099.08
"368",0.392038661646,0.871003833179,0.948663910403,0.0912598,0.392803,0.0527007,179.576,2123.04
"369",0.42515503433,1.05748933512,0.942465540109,0.106726,0.507131,0.0592559,167.175,2075.48
"370",0.529907665993,1.27462377369,0.955004473367,0.294626,0.720428,0.0460393,187.452,2107.17
"371",0.585459539975,1.61730898009,0.952566178337,0.484929,0.994303,0.0485957,180.752,2106.9
"372",0.44010896721,1.1400600595,0.939456365933,0.126163,0.562294,0.0624539,158.204,2082.62
"373",0.44751846407,0.940699757657,0.956421377827,0.11859,0.464559,0.0445567,197.967,2053.14
"374",0.526717089491,1.23730286835,0.958125344043,0.289085,0.693583,0.0427767,206.355,2114.88
"375",0.584677965761,1.49586767304,0.957798877075,0.514081,0.916802,0.0431175,193.484,2130.66
"376",0.448553251665,1.08890315126,0.944870890985,0.161404,0.54356,0.056707,164.33,2139.69
"377",0.330421506935,0.972781180717,0.92159840361,0.0492645,0.399829,0.0816457,138.47,2083.43
"378",0.68285363494,2.14134840417,0.957092885274,1.13275,1.50513,0.0438548,183.076,2101.53
"379",0.514337989584,1.06717856738,0.963939212098,0.232866,0.584951,0.036727,225.27,2083.03
"380",0.404735032557,0.978044846071,0.943168991859,0.0919805,0.45268,0.0585098,168.522,2086.38
"381",0.226588916351,0.538297182648,0.945056157475,0.0187289,0.176916,0.0565109,174.291,2085.39
"382",0.0914864699978,0.351439834476,0.948208421608,0.00568529,0.0839436,0.0531809,196.088,2094.71
"383",0.239643257837,0.643774951089,0.934503247639,0.0233067,0.219773,0.0677402,156.281,2111.79
"384",0.470904159853,1.10444767918,0.950350074795,0.161277,0.569739,0.0509249,178.022,2079.93
"385",0.109258672309,0.471136343084,0.930953858979,0.00672706,0.120522,0.0715456,163.777,2091.53
"386",0.0639388838658,0.436451209582,0.92579875866,0.00488257,0.102107,0.0770984,147.373,2107.31
"387",0.401070086216,0.755903730146,0.96127788883,0.0961266,0.341892,0.0394917,228.306,2123.91
"388",0.601919755262,2.11769527127,0.934181345901,0.577993,1.3405,0.0680847,149.476,2104.59
"389",0.749015315431,3.19554359479,0.945024996758,1.75461,2.44849,0.0565439,158.928,2045.4
"390",0.124633658424,0.386235729463,0.946934653845,0.00791305,0.101203,0.0545252,177.69,2098.64
"391",0.331584420326,0.785708026404,0.940314558857,0.0577449,0.320214,0.0615408,158.584,2140.77
"392",0.603092838481,1.30179556745,0.973525482123,0.506493,0.811578,0.0268313,291.607,2085.64
"393",0.217175043349,0.624158703117,0.931471126651,0.0186265,0.204081,0.0709901,152.139,2102.47
"394",0.296057937148,0.67356418842,0.944907272623,0.0363028,0.254507,0.0566685,175.731,2100.45
"395",0.489668165329,1.4238983677,0.935119692327,0.205051,0.762118,0.0670807,153.098,2094.75
"396",0.256072096077,0.743383558628,0.92680478906,0.0292016,0.263555,0.0760123,148.861,2134.64
"397",0.766591382349,3.29170310522,0.948561625132,2.57273,2.57483,0.0528085,164.781,2119.76
"398",0.275688781222,0.561017916219,0.953697663103,0.0279709,0.200969,0.0474086,205.344,2082.52
"399",0.367332542792,0.673820734671,0.960538643554,0.0740366,0.286978,0.0402611,221.7,2134.55
"400",0.375318495532,0.950967780348,0.937007251336,0.0788187,0.419909,0.0650643,156.714,2115.8
"401",0.268759538916,0.728274963919,0.931704333676,0.0314656,0.264027,0.0707398,153.128,2124.48
"402",0.758778780499,2.99149426681,0.953976021179,2.64159,2.31591,0.0471167,174.876,2153.93
"403",0.617645677995,1.50009442622,0.966332831899,0.707084,0.960194,0.034247,226.969,2144.18
"404",0.606960740111,1.59979624093,0.959156247645,0.557245,1.01186,0.0417013,198.006,2093.85
